Object,Time
DAMAGED,2023-04-29 22:12:06.508164
DAMAGED,2023-04-29 22:12:06.510162
DAMAGED,2023-04-29 22:12:06.573162
DAMAGED,2023-04-29 22:12:06.580162
DAMAGED,2023-04-29 22:12:06.582161
DAMAGED,2023-04-29 22:12:06.639161
DAMAGED,2023-04-29 22:12:06.643162
DAMAGED,2023-04-29 22:12:06.644161
DAMAGED,2023-04-29 22:12:06.704161
DAMAGED,2023-04-29 22:12:06.711161
DAMAGED,2023-04-29 22:12:06.713164
DAMAGED,2023-04-29 22:12:06.771162
DAMAGED,2023-04-29 22:12:06.775162
DAMAGED,2023-04-29 22:12:06.778164
DAMAGED,2023-04-29 22:12:06.839162
DAMAGED,2023-04-29 22:12:06.842163
DAMAGED,2023-04-29 22:12:06.848161
DAMAGED,2023-04-29 22:12:06.903162
DAMAGED,2023-04-29 22:12:06.905161
DAMAGED,2023-04-29 22:12:06.913163
DAMAGED,2023-04-29 22:12:06.971161
DAMAGED,2023-04-29 22:12:06.975161
DAMAGED,2023-04-29 22:12:06.981162
DAMAGED,2023-04-29 22:12:07.035162
DAMAGED,2023-04-29 22:12:07.036162
DAMAGED,2023-04-29 22:12:07.047161
DAMAGED,2023-04-29 22:12:07.095163
DAMAGED,2023-04-29 22:12:07.099161
DAMAGED,2023-04-29 22:12:07.122162
DAMAGED,2023-04-29 22:12:07.156162
DAMAGED,2023-04-29 22:12:07.161161
DAMAGED,2023-04-29 22:12:07.208162
DAMAGED,2023-04-29 22:12:07.210162
DAMAGED,2023-04-29 22:12:07.216163
DAMAGED,2023-04-29 22:12:07.274161
DAMAGED,2023-04-29 22:12:07.279161
DAMAGED,2023-04-29 22:12:07.279161
DAMAGED,2023-04-29 22:12:07.340161
DAMAGED,2023-04-29 22:12:07.342162
DAMAGED,2023-04-29 22:12:07.347161
DAMAGED,2023-04-29 22:12:07.406161
DAMAGED,2023-04-29 22:12:07.408162
DAMAGED,2023-04-29 22:12:07.414161
DAMAGED,2023-04-29 22:12:07.470161
DAMAGED,2023-04-29 22:12:07.471162
DAMAGED,2023-04-29 22:12:07.480162
DAMAGED,2023-04-29 22:12:07.531161
DAMAGED,2023-04-29 22:12:07.542161
DAMAGED,2023-04-29 22:12:07.565163
DAMAGED,2023-04-29 22:12:07.579161
DAMAGED,2023-04-29 22:12:07.606162
DAMAGED,2023-04-29 22:12:07.641162
DAMAGED,2023-04-29 22:12:07.644161
DAMAGED,2023-04-29 22:12:07.660161
DAMAGED,2023-04-29 22:12:07.700162
DAMAGED,2023-04-29 22:12:07.708161
DAMAGED,2023-04-29 22:12:07.754163
DAMAGED,2023-04-29 22:12:07.757162
DAMAGED,2023-04-29 22:12:07.763161
DAMAGED,2023-04-29 22:12:07.817162
DAMAGED,2023-04-29 22:12:07.827163
DAMAGED,2023-04-29 22:12:07.834163
DAMAGED,2023-04-29 22:12:07.879162
DAMAGED,2023-04-29 22:12:07.895161
DAMAGED,2023-04-29 22:12:07.902161
DAMAGED,2023-04-29 22:12:07.946161
DAMAGED,2023-04-29 22:12:07.961162
DAMAGED,2023-04-29 22:12:07.967162
DAMAGED,2023-04-29 22:12:08.014161
DAMAGED,2023-04-29 22:12:08.026161
DAMAGED,2023-04-29 22:12:08.029161
DAMAGED,2023-04-29 22:12:08.074162
DAMAGED,2023-04-29 22:12:08.094161
DAMAGED,2023-04-29 22:12:08.102162
DAMAGED,2023-04-29 22:12:08.143161
DAMAGED,2023-04-29 22:12:08.154161
DAMAGED,2023-04-29 22:12:08.171161
DAMAGED,2023-04-29 22:12:08.194161
DAMAGED,2023-04-29 22:12:08.236161
DAMAGED,2023-04-29 22:12:08.242161
DAMAGED,2023-04-29 22:12:08.250163
DAMAGED,2023-04-29 22:12:08.301164
DAMAGED,2023-04-29 22:12:08.307161
DAMAGED,2023-04-29 22:12:08.315163
DAMAGED,2023-04-29 22:12:08.366163
DAMAGED,2023-04-29 22:12:08.369161
DAMAGED,2023-04-29 22:12:08.376161
DAMAGED,2023-04-29 22:12:08.428161
DAMAGED,2023-04-29 22:12:08.433163
DAMAGED,2023-04-29 22:12:08.441161
DAMAGED,2023-04-29 22:12:08.489162
DAMAGED,2023-04-29 22:12:08.499162
DAMAGED,2023-04-29 22:12:08.508161
DAMAGED,2023-04-29 22:12:08.545161
DAMAGED,2023-04-29 22:12:08.565164
DAMAGED,2023-04-29 22:12:08.572161
DAMAGED,2023-04-29 22:12:08.614163
DAMAGED,2023-04-29 22:12:08.628163
DAMAGED,2023-04-29 22:12:08.632162
DAMAGED,2023-04-29 22:12:08.690161
DAMAGED,2023-04-29 22:12:08.690161
DAMAGED,2023-04-29 22:12:08.694162
DAMAGED,2023-04-29 22:12:08.750162
DAMAGED,2023-04-29 22:12:08.758162
DAMAGED,2023-04-29 22:12:08.764162
DAMAGED,2023-04-29 22:12:08.820163
DAMAGED,2023-04-29 22:12:08.828161
DAMAGED,2023-04-29 22:12:08.830161
DAMAGED,2023-04-29 22:12:08.886161
DAMAGED,2023-04-29 22:12:08.894161
DAMAGED,2023-04-29 22:12:08.896161
DAMAGED,2023-04-29 22:12:08.953162
DAMAGED,2023-04-29 22:12:08.957162
DAMAGED,2023-04-29 22:12:08.961161
DAMAGED,2023-04-29 22:12:09.017162
DAMAGED,2023-04-29 22:12:09.026161
DAMAGED,2023-04-29 22:12:09.029161
DAMAGED,2023-04-29 22:12:09.079161
DAMAGED,2023-04-29 22:12:09.092161
DAMAGED,2023-04-29 22:12:09.092161
DAMAGED,2023-04-29 22:12:09.148161
DAMAGED,2023-04-29 22:12:09.152162
DAMAGED,2023-04-29 22:12:09.153162
DAMAGED,2023-04-29 22:12:09.210163
DAMAGED,2023-04-29 22:12:09.214161
DAMAGED,2023-04-29 22:12:09.217161
DAMAGED,2023-04-29 22:12:09.274163
DAMAGED,2023-04-29 22:12:09.279161
DAMAGED,2023-04-29 22:12:09.289161
DAMAGED,2023-04-29 22:12:09.336161
DAMAGED,2023-04-29 22:12:09.337161
DAMAGED,2023-04-29 22:12:09.361162
DAMAGED,2023-04-29 22:12:09.394162
DAMAGED,2023-04-29 22:12:09.395163
DAMAGED,2023-04-29 22:12:09.450163
DAMAGED,2023-04-29 22:12:09.455162
DAMAGED,2023-04-29 22:12:09.455162
DAMAGED,2023-04-29 22:12:09.515163
DAMAGED,2023-04-29 22:12:09.518161
DAMAGED,2023-04-29 22:12:09.523161
DAMAGED,2023-04-29 22:12:09.578161
DAMAGED,2023-04-29 22:12:09.583162
DAMAGED,2023-04-29 22:12:09.589162
DAMAGED,2023-04-29 22:12:09.642161
DAMAGED,2023-04-29 22:12:09.646161
DAMAGED,2023-04-29 22:12:09.657161
DAMAGED,2023-04-29 22:12:09.701162
DAMAGED,2023-04-29 22:12:09.702161
DAMAGED,2023-04-29 22:12:09.740163
DAMAGED,2023-04-29 22:12:09.756161
DAMAGED,2023-04-29 22:12:09.765163
DAMAGED,2023-04-29 22:12:09.811161
DAMAGED,2023-04-29 22:12:09.814162
DAMAGED,2023-04-29 22:12:09.823161
DAMAGED,2023-04-29 22:12:09.875161
DAMAGED,2023-04-29 22:12:09.887161
DAMAGED,2023-04-29 22:12:09.887161
DAMAGED,2023-04-29 22:12:09.944163
DAMAGED,2023-04-29 22:12:09.948164
DAMAGED,2023-04-29 22:12:09.952196
DAMAGED,2023-04-29 22:12:10.007164
DAMAGED,2023-04-29 22:12:10.011162
DAMAGED,2023-04-29 22:12:10.019160
DAMAGED,2023-04-29 22:12:10.071162
DAMAGED,2023-04-29 22:12:10.075163
DAMAGED,2023-04-29 22:12:10.084162
DAMAGED,2023-04-29 22:12:10.135160
DAMAGED,2023-04-29 22:12:10.138162
DAMAGED,2023-04-29 22:12:10.147162
DAMAGED,2023-04-29 22:12:10.199163
DAMAGED,2023-04-29 22:12:10.203161
DAMAGED,2023-04-29 22:12:10.214161
DAMAGED,2023-04-29 22:12:10.261161
DAMAGED,2023-04-29 22:12:10.262162
DAMAGED,2023-04-29 22:12:10.313161
DAMAGED,2023-04-29 22:12:10.317162
DAMAGED,2023-04-29 22:12:10.318163
DAMAGED,2023-04-29 22:12:10.381162
DAMAGED,2023-04-29 22:12:10.383163
DAMAGED,2023-04-29 22:12:10.388161
DAMAGED,2023-04-29 22:12:10.444160
DAMAGED,2023-04-29 22:12:10.448161
DAMAGED,2023-04-29 22:12:10.456163
DAMAGED,2023-04-29 22:12:10.507161
DAMAGED,2023-04-29 22:12:10.512162
DAMAGED,2023-04-29 22:12:10.532162
DAMAGED,2023-04-29 22:12:10.566163
DAMAGED,2023-04-29 22:12:10.570162
DAMAGED,2023-04-29 22:12:10.615162
DAMAGED,2023-04-29 22:12:10.625161
DAMAGED,2023-04-29 22:12:10.626162
DAMAGED,2023-04-29 22:12:10.684164
DAMAGED,2023-04-29 22:12:10.691163
DAMAGED,2023-04-29 22:12:10.691163
DAMAGED,2023-04-29 22:12:10.749162
DAMAGED,2023-04-29 22:12:10.752161
DAMAGED,2023-04-29 22:12:10.757161
DAMAGED,2023-04-29 22:12:10.811161
DAMAGED,2023-04-29 22:12:10.813162
DAMAGED,2023-04-29 22:12:10.827160
DAMAGED,2023-04-29 22:12:10.872163
DAMAGED,2023-04-29 22:12:10.874161
DAMAGED,2023-04-29 22:12:10.924162
DAMAGED,2023-04-29 22:12:10.926163
DAMAGED,2023-04-29 22:12:10.928164
DAMAGED,2023-04-29 22:12:10.985163
DAMAGED,2023-04-29 22:12:10.999162
DAMAGED,2023-04-29 22:12:10.999162
DAMAGED,2023-04-29 22:12:11.040164
DAMAGED,2023-04-29 22:12:11.061162
DAMAGED,2023-04-29 22:12:11.070164
DAMAGED,2023-04-29 22:12:11.116164
DAMAGED,2023-04-29 22:12:11.120161
DAMAGED,2023-04-29 22:12:11.166163
DAMAGED,2023-04-29 22:12:11.169161
DAMAGED,2023-04-29 22:12:11.172162
DAMAGED,2023-04-29 22:12:11.229161
DAMAGED,2023-04-29 22:12:11.240161
DAMAGED,2023-04-29 22:12:11.242161
DAMAGED,2023-04-29 22:12:11.298162
DAMAGED,2023-04-29 22:12:11.303162
DAMAGED,2023-04-29 22:12:11.309161
DAMAGED,2023-04-29 22:12:11.361161
DAMAGED,2023-04-29 22:12:11.365163
DAMAGED,2023-04-29 22:12:11.374161
DAMAGED,2023-04-29 22:12:11.422161
DAMAGED,2023-04-29 22:12:11.423161
DAMAGED,2023-04-29 22:12:11.445161
DAMAGED,2023-04-29 22:12:11.478161
DAMAGED,2023-04-29 22:12:11.484164
DAMAGED,2023-04-29 22:12:11.531162
DAMAGED,2023-04-29 22:12:11.534163
DAMAGED,2023-04-29 22:12:11.541162
DAMAGED,2023-04-29 22:12:11.591163
DAMAGED,2023-04-29 22:12:11.604163
DAMAGED,2023-04-29 22:12:11.607161
DAMAGED,2023-04-29 22:12:11.661162
DAMAGED,2023-04-29 22:12:11.665164
DAMAGED,2023-04-29 22:12:11.672162
DAMAGED,2023-04-29 22:12:11.724161
DAMAGED,2023-04-29 22:12:11.729161
DAMAGED,2023-04-29 22:12:11.740161
DAMAGED,2023-04-29 22:12:11.785161
DAMAGED,2023-04-29 22:12:11.791161
DAMAGED,2023-04-29 22:12:11.813163
DAMAGED,2023-04-29 22:12:11.846163
DAMAGED,2023-04-29 22:12:11.850163
DAMAGED,2023-04-29 22:12:11.902162
DAMAGED,2023-04-29 22:12:11.903161
DAMAGED,2023-04-29 22:12:11.906162
DAMAGED,2023-04-29 22:12:11.964164
DAMAGED,2023-04-29 22:12:11.967161
DAMAGED,2023-04-29 22:12:11.974162
DAMAGED,2023-04-29 22:12:12.026163
DAMAGED,2023-04-29 22:12:12.027161
DAMAGED,2023-04-29 22:12:12.046161
DAMAGED,2023-04-29 22:12:12.092161
DAMAGED,2023-04-29 22:12:12.092161
DAMAGED,2023-04-29 22:12:12.112163
DAMAGED,2023-04-29 22:12:12.152164
DAMAGED,2023-04-29 22:12:12.153165
DAMAGED,2023-04-29 22:12:12.203161
DAMAGED,2023-04-29 22:12:12.205163
DAMAGED,2023-04-29 22:12:12.206161
DAMAGED,2023-04-29 22:12:12.269164
DAMAGED,2023-04-29 22:12:12.272161
DAMAGED,2023-04-29 22:12:12.277161
DAMAGED,2023-04-29 22:12:12.334165
DAMAGED,2023-04-29 22:12:12.339161
DAMAGED,2023-04-29 22:12:12.345162
DAMAGED,2023-04-29 22:12:12.398162
DAMAGED,2023-04-29 22:12:12.401162
DAMAGED,2023-04-29 22:12:12.410162
DAMAGED,2023-04-29 22:12:12.461161
DAMAGED,2023-04-29 22:12:12.464163
DAMAGED,2023-04-29 22:12:12.476162
DAMAGED,2023-04-29 22:12:12.524164
DAMAGED,2023-04-29 22:12:12.527162
DAMAGED,2023-04-29 22:12:12.537164
DAMAGED,2023-04-29 22:12:12.589162
DAMAGED,2023-04-29 22:12:12.592162
DAMAGED,2023-04-29 22:12:12.600163
DAMAGED,2023-04-29 22:12:12.648161
DAMAGED,2023-04-29 22:12:12.651163
DAMAGED,2023-04-29 22:12:12.664162
DAMAGED,2023-04-29 22:12:12.704162
DAMAGED,2023-04-29 22:12:12.706161
DAMAGED,2023-04-29 22:12:12.757162
DAMAGED,2023-04-29 22:12:12.760161
DAMAGED,2023-04-29 22:12:12.762161
DAMAGED,2023-04-29 22:12:12.820162
DAMAGED,2023-04-29 22:12:12.824164
DAMAGED,2023-04-29 22:12:12.826161
DAMAGED,2023-04-29 22:12:12.888163
DAMAGED,2023-04-29 22:12:12.892164
DAMAGED,2023-04-29 22:12:12.893161
DAMAGED,2023-04-29 22:12:12.953161
DAMAGED,2023-04-29 22:12:12.957162
DAMAGED,2023-04-29 22:12:12.962161
DAMAGED,2023-04-29 22:12:13.017165
DAMAGED,2023-04-29 22:12:13.020162
DAMAGED,2023-04-29 22:12:13.028164
DAMAGED,2023-04-29 22:12:13.082163
DAMAGED,2023-04-29 22:12:13.086163
DAMAGED,2023-04-29 22:12:13.094165
DAMAGED,2023-04-29 22:12:13.145162
DAMAGED,2023-04-29 22:12:13.154161
DAMAGED,2023-04-29 22:12:13.161162
DAMAGED,2023-04-29 22:12:13.208161
DAMAGED,2023-04-29 22:12:13.212162
DAMAGED,2023-04-29 22:12:13.246163
DAMAGED,2023-04-29 22:12:13.265163
DAMAGED,2023-04-29 22:12:13.268161
DAMAGED,2023-04-29 22:12:13.324163
DAMAGED,2023-04-29 22:12:13.326164
DAMAGED,2023-04-29 22:12:13.330161
DAMAGED,2023-04-29 22:12:13.385161
DAMAGED,2023-04-29 22:12:13.394161
DAMAGED,2023-04-29 22:12:13.397162
DAMAGED,2023-04-29 22:12:13.456162
DAMAGED,2023-04-29 22:12:13.459163
DAMAGED,2023-04-29 22:12:13.463161
DAMAGED,2023-04-29 22:12:13.517163
DAMAGED,2023-04-29 22:12:13.524164
DAMAGED,2023-04-29 22:12:13.530162
